G34	G70	0.9967346787
G36	G70	0.9961673617
G66	G64	0.9949738979
G28	G72	0.9947434664
G29	G73	0.9933638573
G29	G72	0.9930306077
G96	G27	0.9923866987
G1	G10	0.9898650050
G79	G80	0.9884285331
G5	G56	0.9872208238
G29	G76	0.9862875342
G50	G42	0.9857455492
G38	G70	0.9807096720
G95	G27	0.9756268859
G29	G67	0.9750940204
G66	G65	0.9715791941
G29	G71	0.9690697789
G1	G2	0.9665436149
G90	G91	0.9642547965
G28	G73	0.9624853134
G29	G70	0.9622079730
G5	G2	0.9601522088
G28	G71	0.9565958381
G1	G8	0.9555162191
G80	G47	0.9529494047
G5	G8	0.9510514736
G28	G76	0.9508317113
G29	G68	0.9501813650
G5	G14	0.9494110942
G28	G68	0.9493404031
G5	G10	0.9384509921
G29	G40	0.9347801805
G1	G5	0.9337625504
G79	G75	0.9320138097
G50	G53	0.9319421649
G94	G27	0.9252485037
G28	G67	0.9203842878
G36	G16	0.9131935835
G96	G26	0.9117769003
G62	G16	0.9101141691
G29	G33	0.9051958323
G29	G74	0.8843209147
G52	G60	0.8826947212
G1	G41	0.8580779433
G32	G33	0.8557786942
G34	G74	0.8513424993
G31	G70	0.8358073235
G28	G74	0.8276269436
G29	G46	0.8177374005
G98	G46	0.8062385917
G62	G74	0.8060908914
G36	G85	0.7844512463
G1	G17	0.7838977575
G94	G54	0.7838573456
G70	G78	0.7826960683
G63	G84	0.7692107558
G75	G57	0.7633438110
G1	G3	0.7622576952
G1	G22	0.7617080212
G38	G16	0.7573103905
G87	G99	0.7500325441
G79	G82	0.7493759394
G33	G70	0.7477786541
G34	G16	0.7323853970
G31	G1	0.7321431041
G8	G34	0.7232378721
G80	G79	0.7011690140
G38	G74	0.6978251338
G25	G89	0.6963238716
G1	G21	0.6958780289
G95	G39	0.6829546690
G8	G30	0.6824111938
G62	G85	0.6660059094
G7	G3	0.6630861163
G90	G49	0.6605709195
G62	G70	0.6559408903
G71	G20	0.6472542882
G94	G5	0.6384258270
G10	G78	0.6254285574
G79	G87	0.6225004196
G15	G29	0.6200050712
G22	G72	0.6106854677
G1	G53	0.6075655818
G85	G65	0.6054269671
G25	G20	0.5976961851
G5	G3	0.5930063725
G28	G37	0.5901430845
G28	G70	0.5720396042
G84	G36	0.5685324669
G20	G12	0.5667549968
G73	G66	0.5609335303
G95	G48	0.5551669598
G7	G72	0.5470460057
G94	G61	0.5459353328
G79	G85	0.5442473888
G23	G55	0.5439916253
G99	G14	0.5438292027
G38	G66	0.5393798947
G56	G96	0.5393005610
G63	G27	0.5325359106
G15	G24	0.5295894146
G56	G11	0.5223413706
G32	G70	0.5198411942
G88	G91	0.5174310803
G25	G35	0.5170744061
G90	G59	0.5170123577
G84	G43	0.5141856074
G38	G85	0.5135180354
G17	G63	0.5117979646
