G85	G87	0.9903069735
G43	G79	0.9901249409
G26	G33	0.9894200563
G83	G87	0.9885108471
G37	G24	0.9864826202
G26	G34	0.9864451289
G85	G38	0.9860360622
G85	G84	0.9837475419
G44	G78	0.9827541709
G37	G23	0.9807327390
G54	G82	0.9768418670
G37	G74	0.9757866859
G69	G67	0.9756377935
G83	G38	0.9754965305
G37	G60	0.9719974399
G37	G71	0.9653735757
G37	G73	0.9649581313
G63	G79	0.9625449181
G46	G57	0.9612938762
G44	G79	0.9611027837
G37	G72	0.9607061148
G36	G24	0.9588574171
G36	G74	0.9587620497
G43	G78	0.9567024112
G83	G39	0.9558016062
G10	G71	0.9552628398
G10	G29	0.9538012147
G36	G73	0.9480491281
G37	G89	0.9475072026
G5	G6	0.9473317862
G46	G22	0.9452588558
G46	G29	0.9441350698
G43	G59	0.9438415766
G44	G80	0.9434755445
G96	G21	0.9434401989
G85	G13	0.9426895976
G85	G39	0.9419200420
G65	G66	0.9414116740
G36	G71	0.9408169389
G5	G15	0.9386399984
G40	G41	0.9377270341
G55	G54	0.9353344440
G36	G23	0.9331807494
G26	G32	0.9303718209
G37	G70	0.9286918640
G36	G72	0.9281881452
G37	G29	0.9243544340
G43	G80	0.9226093888
G83	G88	0.9219950438
G10	G23	0.9215407968
G57	G56	0.9199563265
G85	G88	0.9125428796
G37	G77	0.9082759619
G46	G23	0.9071518183
G5	G14	0.9047191143
G44	G59	0.9027823806
G96	G97	0.9019482732
G5	G13	0.8949780464
G5	G17	0.8909506798
G44	G61	0.8874872923
G63	G80	0.8851866722
G85	G25	0.8780015111
G46	G71	0.8771202564
G63	G78	0.8730643392
G83	G49	0.8707333207
G83	G12	0.8667612672
G38	G24	0.8649168611
G36	G89	0.8620088696
G10	G74	0.8612819314
G43	G24	0.8586316705
G36	G75	0.8553028703
G85	G12	0.8540552855
G10	G77	0.8438017368
G10	G89	0.8415716887
G5	G19	0.8374181986
G43	G61	0.8299493194
G44	G20	0.8276644945
G36	G29	0.8211414814
G63	G59	0.8152044415
G83	G9	0.8116940260
G37	G62	0.8043193817
G46	G89	0.8005821109
G36	G60	0.7972328067
G62	G50	0.7925820351
G92	G28	0.7906555533
G46	G24	0.7893229127
G10	G73	0.7821092606
G46	G62	0.7667290568
G46	G1	0.7622433901
G36	G77	0.7580642104
G85	G9	0.7579201460
G53	G83	0.7564752698
G46	G25	0.7482055426
G36	G70	0.7477887273
G36	G1	0.7419200540
G37	G1	0.7321374416
G30	G55	0.7261592746
G46	G77	0.7256799936
G46	G73	0.7246055603
G42	G24	0.7238059044
G5	G12	0.7121027112
G83	G19	0.7109274864
G91	G28	0.7063276768
G5	G11	0.7054451704
G90	G70	0.6965634823
G5	G16	0.6923835874
G33	G75	0.6841772795
G46	G72	0.6809599400
G35	G75	0.6778965592
G83	G4	0.6769184470
G5	G18	0.6716217399
G46	G74	0.6666376591
G37	G25	0.6596864462
G54	G43	0.6512291431
G83	G25	0.6461631656
G10	G25	0.6440564990
G51	G56	0.6396983862
G42	G1	0.6300622225
G85	G11	0.6242089272
G10	G68	0.6195822954
G43	G60	0.6195449829
G36	G62	0.6000232100
G81	G47	0.5940182209
G10	G24	0.5929773450
G63	G61	0.5922834873
G20	G56	0.5841798186
G24	G10	0.5779802203
G20	G33	0.5766137242
G83	G11	0.5734132528
G43	G20	0.5701085329
G72	G26	0.5676492453
G73	G8	0.5654795170
G82	G38	0.5642385483
G69	G93	0.5573120117
G36	G59	0.5562874079
G5	G20	0.5539963841
G44	G24	0.5532251000
G2	G65	0.5512193441
G69	G31	0.5501305461
G44	G60	0.5455157161
G34	G81	0.5396077037
G45	G5	0.5334802270
G40	G24	0.5332317352
G37	G75	0.5331068635
G46	G58	0.5264425278
G42	G59	0.5247389674
G25	G55	0.5204377174
G51	G82	0.5196856856
G10	G70	0.5189419389
G71	G35	0.5143197179
G42	G29	0.5089848638
G70	G90	0.5075448155
G20	G85	0.5024599433
G37	G59	0.4955461919
G42	G4	0.4927001297
G46	G70	0.4901524484
G92	G66	0.4894202352
G46	G66	0.4878575504
G28	G98	0.4862262011
G46	G68	0.4813076556
G37	G55	0.4780248702
G90	G84	0.4773938954
G8	G10	0.4740085006
G82	G31	0.4738629460
G39	G53	0.4704931676
G64	G28	0.4619052708
G46	G4	0.4572187662
G47	G83	0.4565305412
G59	G56	0.4548473060
G98	G62	0.4527510703
G10	G72	0.4465964139
G46	G81	0.4445863366
G52	G44	0.4437902272
G62	G28	0.4436018765
G29	G55	0.4434101880
G37	G4	0.4425191879
G25	G33	0.4399930835
G18	G27	0.4390649498
G68	G93	0.4379457831
G20	G54	0.4326176345
G42	G41	0.4319415092
G44	G40	0.4311819077
G37	G41	0.4308298528
G85	G94	0.4306021035
G10	G1	0.4268244803
G97	G96	0.4267283082
G55	G30	0.4233508706
G74	G35	0.4216765463
G36	G61	0.4187899828
G64	G81	0.4176914990
G52	G62	0.4174966812
