G1	G2	+
G1	G3	+
G7	G4	+
G5	G4	-
G3	G4	-
G7	G6	-
G5	G6	-
G10	G6	-
G7	G8	-
G8	G9	-
G10	G9	+
G6	G9	-
G6	G11	-
G8	G11	-
G3	G11	-
G9	G11	+
G6	G12	-
G8	G12	-
G10	G12	-
G5	G13	+
G3	G13	-
G10	G13	+
G7	G14	+
G5	G14	+
G3	G15	+
G2	G15	+
G3	G16	-
G2	G16	+
G7	G17	+
G1	G17	+
G7	G18	+
G5	G18	-
G3	G19	-
G2	G19	-
G3	G20	-
G2	G20	-
G3	G21	+
G2	G21	-
G2	G22	-
G3	G22	-
G1	G23	+
G10	G23	+
G5	G24	-
G7	G24	+
G5	G25	-
G7	G25	-
G5	G26	+
G3	G26	-
G5	G27	-
G7	G27	+
G10	G28	+
G5	G28	+
G5	G29	+
G7	G29	-
G7	G30	-
G5	G30	-
G7	G31	-
G5	G31	+
G1	G32	-
G3	G33	-
G1	G34	+
G1	G35	-
G1	G36	-
G1	G37	-
G1	G38	+
G1	G39	+
G1	G40	-
G3	G41	-
G1	G42	+
G1	G43	-
G4	G44	-
G7	G45	+
G1	G46	-
G1	G47	-
G1	G48	+
G1	G49	+
G3	G50	+
G3	G51	-
G1	G52	-
G7	G53	-
G3	G54	+
G1	G55	-
G1	G56	+
G1	G57	-
G1	G58	+
G7	G59	+
G1	G60	+
G1	G61	-
G1	G62	-
G1	G63	+
G1	G64	+
G4	G65	+
G1	G66	+
G1	G67	+
G1	G68	+
G4	G69	-
G1	G70	-
G1	G71	+
G1	G72	+
G9	G73	+
G1	G74	-
G1	G75	+
G1	G76	-
G7	G77	+
G1	G78	-
G1	G79	+
G1	G80	-
G4	G81	+
G3	G82	+
G1	G83	+
G9	G84	-
G1	G85	-
G1	G86	-
G1	G87	-
G1	G88	+
G4	G89	+
G1	G90	+
G1	G91	+
G7	G92	-
G5	G93	+
G7	G94	+
G1	G95	+
G1	G96	-
G1	G97	+
G1	G98	-
G1	G99	+
G1	G100	-
