G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.4985740	1.0000000	0.6240164	1.0000000	0.9998297	0.2673205	0.6515785	0.5261145	0.4413232	0.7881475
0.9626059	0.5000000	0.4890452	1.0000000	0.9996574	0.3356329	0.4522327	0.4465092	0.0820541	0.8343682
0.9971451	1.0000000	0.3120089	1.0000000	0.9999581	0.4930748	0.5491463	0.6937504	0.1177483	0.9682778
0.9971451	1.0000000	0.7371994	0.5000000	0.9999581	0.2285988	0.6769765	0.4781539	0.5764065	0.6878893
0.9971451	1.0000000	0.6240164	1.0000000	0.4999848	0.2673205	0.6515785	0.5261145	0.4413232	0.7881475
0.9971451	1.0000000	0.6240164	1.0000000	0.9999581	0.1336646	0.6515785	0.5261145	0.4413232	0.7881476
0.9971451	1.0000000	0.6240164	1.0000000	0.9999581	0.2673205	0.3257934	0.5261145	0.4413232	0.7881475
0.9971451	1.0000000	0.6240164	1.0000000	0.9999581	0.2673205	0.6515785	0.2630700	0.4413232	0.7881476
0.9971451	1.0000000	0.6240164	1.0000000	0.9999581	0.2673205	0.6515785	0.5261145	0.2206619	0.7881476
0.9971451	1.0000000	0.6240164	1.0000000	0.9999581	0.2673205	0.6515785	0.5261145	0.4413232	0.3941488
