G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.0364359	0.0344273	1.0000000	0.6638765	0.4894118	0.5511585	0.0326052	0.0320338	0.9999997
1.0000000	0.0000000	0.9583970	1.0000000	0.2730376	0.7589774	0.5637919	0.9999693	0.3120783	0.5660496
1.0000000	0.0364359	0.0000000	1.0000000	0.2730376	0.4873693	0.0000710	0.9999693	0.3120783	0.5660496
1.0000000	0.0364359	0.0344274	0.0000000	0.5471524	0.4894123	0.5511645	0.0326052	0.9928086	0.0509632
1.0000000	0.8085527	0.9583970	1.0000000	0.0000001	0.4334923	0.8712925	0.9999693	0.3120783	0.5660496
1.0000000	0.8085527	0.9583970	1.0000000	0.2730376	0.0000004	0.8712925	0.9999693	0.3120783	0.5660496
1.0000000	0.8085527	0.9583970	1.0000000	0.2730376	0.4334923	0.0000000	0.9999693	0.3120783	0.5660496
1.0000000	0.8085527	0.9583970	1.0000000	0.2730376	0.4334923	0.8712925	0.0000000	0.3120783	0.5660496
1.0000000	0.8085527	0.9583970	1.0000000	0.2730376	0.4334923	0.8712925	0.9999693	0.0000001	0.5660496
1.0000000	0.8085527	0.9583970	1.0000000	0.2730376	0.4334923	0.8712925	0.9999693	0.3120783	0.0000001
