G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.4830547	0.3830281	1.0000000	0.5238701	0.6950251	0.7854056	0.0984585	0.0017634	0.1317169
1.0000000	0.0000000	0.8831403	1.0000000	0.1870813	0.3087983	0.9794355	0.9128529	0.0017634	0.1317169
1.0000000	0.1423726	0.0000000	1.0000000	0.1853038	0.0816775	0.9794355	0.9128529	0.0017634	0.1317169
1.0000000	0.6092295	0.8831403	0.0000006	0.2107879	0.8242638	0.5977291	0.9999977	0.9999948	0.9999994
1.0000000	0.1423726	0.8815992	1.0000000	0.0000000	0.3526213	0.9794355	0.9128529	0.0017634	0.1317169
1.0000000	0.1423726	0.8815992	1.0000000	0.1853038	0.0000015	0.9794355	0.9128529	0.0017634	0.1317169
1.0000000	0.1423726	0.8815992	1.0000000	0.1853038	0.3526213	0.0000000	0.9128529	0.0017634	0.1317169
1.0000000	0.1423726	0.8815992	1.0000000	0.1853038	0.3526213	0.9794355	0.0000045	0.0017634	0.1317169
1.0000000	0.1423726	0.8815992	1.0000000	0.1853038	0.3526213	0.9794355	0.9128529	0.0000001	0.1317169
1.0000000	0.1423726	0.8815992	1.0000000	0.1853038	0.3526213	0.9794355	0.9128529	0.0017634	0.0000000
