G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	1.0000000	0.9981055	0.1222340	0.6720373	0.5800984	0.4957709	0.5158645	0.8272290	0.5236173
0.0821430	0.0000000	0.1023132	1.0000000	0.6684474	0.4440907	0.9858681	0.0266723	0.0471595	1.0000000
0.6701756	1.0000000	0.0000015	0.1222340	0.6720373	0.9959508	0.4957709	0.5158645	0.8272290	0.5236173
0.6701756	1.0000000	0.9981055	0.0000001	0.6923029	0.5800984	0.0653547	0.5158645	0.8272290	0.5236173
0.6701756	1.0000000	0.9981055	0.1222340	0.0000006	0.5800984	0.4957709	0.5158645	0.8272290	0.5236173
0.6701756	1.0000000	0.9981055	0.1222340	0.6720373	0.0000003	0.4957709	0.5158645	0.8272290	0.5236173
0.6701756	1.0000000	0.9981055	0.1222340	0.6720373	0.5800984	0.0000002	0.5158645	0.8272290	0.5236173
0.6701756	1.0000000	0.9981055	0.1222340	0.6720373	0.5800984	0.4957709	0.0000000	0.8272290	0.5236173
0.6701756	1.0000000	0.9981055	0.1222340	0.6720373	0.5800984	0.4957709	0.5158645	0.0000001	0.5236173
0.6701756	1.0000000	0.9981055	0.1222340	0.6720373	0.5800984	0.4957709	0.5158645	0.8272290	0.0000008
