G6	G2	-
G4	G2	-
G1	G2	-
G5	G2	-
G9	G3	+
G2	G3	+
G6	G3	+
G4	G3	-
G5	G4	-
G1	G4	-
G9	G5	-
G6	G5	+
G4	G6	+
G9	G7	-
G6	G7	+
G8	G7	+
G2	G7	+
G4	G7	+
G2	G8	-
G4	G8	-
G6	G10	+
G9	G10	+
G5	G11	-
G9	G11	-
G1	G11	-
G4	G11	-
G2	G11	-
G6	G11	-
G5	G12	-
G2	G12	-
G6	G12	-
G9	G12	+
G1	G12	+
G4	G12	-
G2	G13	-
G1	G13	-
G4	G13	-
G9	G13	-
G6	G13	-
G5	G13	+
G4	G14	-
G2	G14	-
G5	G14	-
G9	G14	-
G6	G14	-
G5	G15	+
G2	G15	+
G4	G15	+
G8	G15	+
G9	G15	-
G4	G16	+
G2	G16	+
G5	G16	-
G6	G16	+
G6	G17	-
G4	G17	+
G1	G17	+
G5	G17	-
G9	G18	-
G2	G18	+
G4	G18	-
G5	G18	+
G4	G19	+
G6	G19	-
G5	G19	+
G1	G19	+
G4	G20	-
G1	G20	+
G6	G20	-
G5	G20	-
G4	G21	+
G6	G21	+
G5	G21	-
G1	G21	+
G4	G22	+
G5	G22	-
G6	G22	+
G1	G22	+
G4	G23	+
G9	G23	+
G2	G23	-
G5	G23	+
G2	G24	+
G5	G24	+
G9	G24	-
G4	G24	+
G5	G25	+
G4	G25	+
G9	G25	+
G2	G25	+
G6	G26	+
G4	G26	-
G7	G26	+
G2	G27	-
G6	G27	-
G4	G27	+
G2	G28	-
G6	G28	+
G1	G28	-
G2	G29	-
G5	G29	-
G9	G29	+
G6	G30	+
G2	G30	+
G4	G30	-
G9	G31	-
G6	G31	-
G4	G31	+
G4	G32	+
G6	G32	-
G2	G32	-
G4	G33	-
G6	G33	+
G2	G33	+
G2	G34	+
G6	G34	+
G4	G34	-
G4	G35	-
G6	G35	-
G5	G35	-
G6	G36	+
G4	G36	+
G2	G36	-
G6	G37	-
G9	G37	-
G4	G37	+
G4	G38	-
G1	G38	+
G6	G38	-
G6	G39	+
G4	G39	-
G9	G39	-
G4	G40	-
G5	G40	+
G6	G40	+
G6	G41	+
G4	G41	+
G8	G41	-
G6	G42	+
G5	G42	-
G4	G42	-
G6	G43	-
G4	G43	+
G9	G43	+
G9	G44	-
G6	G44	-
G4	G44	+
G7	G45	-
G4	G45	+
G2	G45	-
G2	G46	-
G7	G46	+
G4	G46	+
G4	G47	+
G2	G47	+
G4	G48	-
G6	G48	-
G9	G49	-
G6	G49	+
G9	G50	+
G6	G50	-
G9	G51	+
G6	G51	+
G1	G52	-
G7	G52	-
G1	G53	-
G4	G53	-
G9	G54	-
G6	G54	-
G4	G55	+
G2	G55	+
G9	G56	-
G4	G56	+
G6	G57	-
G9	G57	-
G4	G58	-
G2	G58	-
G4	G59	-
G6	G59	-
G9	G60	+
G4	G60	-
G6	G61	-
G4	G61	+
G6	G62	+
G4	G62	-
G4	G63	+
G6	G63	+
G4	G64	-
G6	G64	-
G7	G65	-
G8	G65	+
G7	G66	-
G8	G66	-
G4	G67	-
G6	G67	+
G6	G68	+
G9	G68	-
G9	G69	-
G6	G69	-
G6	G70	-
G4	G70	-
G4	G71	-
G6	G71	+
G4	G72	+
G5	G72	+
G4	G73	+
G2	G73	-
G6	G74	-
G4	G74	+
G9	G75	+
G8	G75	+
G2	G76	-
G4	G76	-
G6	G77	-
G4	G77	-
G4	G78	+
G6	G78	-
G7	G79	+
G8	G79	-
G9	G80	-
G6	G80	-
G9	G81	-
G6	G81	-
G4	G82	+
G2	G82	-
G2	G83	-
G6	G83	+
G2	G84	-
G6	G84	+
G2	G85	+
G4	G85	+
G2	G86	-
G6	G86	+
G7	G87	-
G8	G87	+
G7	G88	-
G8	G88	-
G4	G89	-
G6	G89	+
G5	G90	+
G4	G90	-
G4	G91	+
G2	G91	+
G1	G92	-
G4	G92	+
G4	G93	-
G1	G93	-
G4	G94	+
G2	G94	-
G6	G95	+
G4	G95	+
G9	G96	-
G6	G96	+
G9	G97	-
G6	G97	+
G2	G98	-
G4	G98	+
G2	G99	+
G4	G99	+
G2	G100	+
G4	G100	+
