G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.4550347	0.7572210	0.7013070	0.3711943	0.5651291	0.0687311	0.3521515	0.1884372	0.7977563	0.8500934
0.9841367	0.4824753	0.6428208	0.5827723	0.4596127	0.6613112	0.5704712	0.0945597	0.4959207	0.7513755
0.6972583	0.7234011	0.4245245	0.5567173	0.4971012	0.6082007	0.5189751	0.0962707	0.3655989	0.9900700
0.7717021	0.9550158	0.8287078	0.2935169	0.5912141	0.6524669	0.6109682	0.2617895	0.4242132	0.8077168
0.7905942	0.7035803	0.8817044	0.5329073	0.2508890	0.5977090	0.5981658	0.1040919	0.4644434	1.0000000
0.8615658	0.8070201	0.8437212	0.5692521	0.4809972	0.3067146	0.6754393	0.1107137	0.3666834	0.8757620
0.6624762	0.7182369	0.6684180	0.4500992	0.4860903	0.6263649	0.2254198	0.1740291	0.4599505	0.6996702
0.8610377	0.8011222	0.8688532	0.5366468	0.4582179	0.4209457	0.5464708	0.0895586	0.4359465	0.9125746
0.8647975	0.7199330	0.8295402	0.5833718	0.5551844	0.6180188	0.4718432	0.1076482	0.1866428	0.8291964
0.8643148	0.6867861	0.7413315	0.5234233	0.4969224	0.5506793	0.5418072	0.0896225	0.3912512	0.4485997
