G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.3602081	0.1946392	0.6666386	0.7715442	0.1603911	0.7738843	0.8157855	0.7413997	0.3015321
0.7664462	0.0000000	0.1038116	1.0000000	0.4184312	0.9035845	0.8891539	0.1935709	0.4092792	0.6749607
0.8500591	0.7458724	0.0000000	0.8102719	0.6400076	0.1936468	0.7542798	0.0791390	0.7277727	0.3304098
0.7648259	0.4443172	0.9420975	0.0000000	0.4906034	0.6309720	0.6275529	0.6634975	0.2982272	0.1525884
0.8590855	0.7235521	0.1486639	0.9010880	0.0000000	0.2437606	0.7287776	0.1487087	0.7826744	0.2708233
0.7360842	0.7201805	0.1274501	0.8070900	0.6143707	0.0000000	0.8220963	0.1161749	0.7425508	0.2359497
0.8214825	0.7329249	0.1657111	0.8723501	0.6047322	0.1525192	0.0000000	0.2017588	0.7578303	0.2493734
0.8429142	0.7648671	0.1762258	0.8393920	0.6772452	0.2573054	0.8596672	0.0000000	0.7286582	0.2041860
0.7888599	0.5804524	0.1341486	0.7465763	0.5835947	0.3772943	0.5742143	0.1957793	0.0000000	0.2238010
0.7359300	0.6736464	0.1439151	0.8490577	0.5745959	0.2544282	0.7949262	0.1676060	0.6912784	0.0000000
