G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.0245164	0.0229931	0.7757221	0.5263557	0.4351471	0.4862031	0.0224716	0.0483118	0.9253558
0.8588071	0.0000000	0.7855736	0.8389892	0.2063068	0.5360694	0.4718422	0.7400103	0.2417187	0.4102872
0.7496025	0.0217860	0.0000000	0.8116371	0.2571948	0.4048401	0.0016199	0.7279066	0.3125430	0.4480942
0.7028258	0.0135575	0.0403257	0.0000000	0.4059283	0.4082382	0.4214915	0.0550925	0.7823681	0.0674411
0.8524235	0.6239695	0.7095945	0.9213743	0.0000000	0.4146803	0.7399035	0.7640621	0.2672415	0.4292478
0.9346581	0.6351107	0.7755045	0.6790368	0.1579107	0.0000000	0.6847518	0.8695920	0.3223883	0.3919236
0.8105078	0.7326074	0.6221116	0.8125140	0.2054114	0.3531965	0.0000000	0.7900779	0.2085307	0.4010554
0.6943809	0.7099579	0.7164593	0.8418098	0.1885673	0.4236298	0.7832284	0.0000000	0.2305701	0.3874675
0.7002728	0.6142583	0.7801672	0.6933952	0.2279917	0.2859822	0.7325161	0.8676169	0.0000000	0.4994174
0.8356077	0.7224443	0.7913940	0.7809557	0.2114436	0.4642845	0.5949802	0.8785578	0.2347933	0.0000000
