G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.7910092	0.4094625	0.7594043	0.0003215	0.2927971	0.5212501	0.4353960	0.2594478	0.7323065
0.0231705	0.0000000	0.1549914	0.8034588	0.0091360	0.0717145	0.2573270	0.3419418	0.0878294	0.0171493
0.7688290	0.8317287	0.0000000	0.8576569	0.8004739	0.8062602	0.4304404	0.5906091	0.0643344	0.9210196
0.8538642	0.7336099	0.7964272	0.0000000	0.8047035	0.1225852	0.5729337	0.3508611	0.6124201	0.3397315
0.9281508	0.6926994	0.4810486	0.6405424	0.0000000	0.2346208	0.6162288	0.3961061	0.1762849	0.7489735
0.8887337	0.7564307	0.5030397	0.7536330	0.8965190	0.0000000	0.4626076	0.4070361	0.3137446	0.6585760
0.6461559	0.7818098	0.4822562	0.8068401	0.8016931	0.2494199	0.0000000	0.4283665	0.3667989	0.5985512
0.8040955	0.7038285	0.5341054	0.7847907	0.8050085	0.2489749	0.5560089	0.0000000	0.3080030	0.6368023
0.8011595	0.7281673	0.4945005	0.7311404	0.7902225	0.2743400	0.6173328	0.4292479	0.0000000	0.6149278
0.7218088	0.7648369	0.4906322	0.8318722	0.8367590	0.1866171	0.5026755	0.4106987	0.3606380	0.0000000
