G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.2368944	0.7966092	0.9104922	0.2024519	0.5414056	0.5800596	0.3663477	0.3523559	0.7049197	0.5717441
0.2348591	0.4004578	0.8595028	0.5863189	0.5881118	0.4486723	0.8528099	0.2634176	0.5945510	0.9259886
0.6121909	0.8540608	0.4334777	0.1126067	0.5905173	0.4455804	0.3293685	0.3829018	0.7520978	0.4284972
0.5099564	0.8139481	0.8753807	0.0950528	0.6117306	0.4550002	0.1320885	0.4725449	0.6343300	0.5628973
0.6206155	0.9007078	1.0000000	0.0784518	0.2796885	0.6160576	0.3402221	0.5231152	0.5872193	0.3903294
0.5213050	0.8940582	0.9843312	0.1155620	0.5735727	0.1892399	0.2931476	0.3368182	0.6627909	0.4215382
0.5610404	0.9142718	0.8591174	0.0363872	0.6721860	0.5663692	0.3058394	0.4411076	0.6067396	0.4151349
0.5300292	0.7446417	0.8462417	0.1113172	0.5011300	0.5252013	0.5758690	0.1988360	0.5745879	0.4402685
0.5705295	0.9053128	0.6936362	0.1300111	0.5594736	0.5735368	0.5940501	0.4866105	0.3013930	0.4508509
0.6643161	0.9204260	0.8595047	0.0768274	0.5087620	0.4148714	0.3882364	0.4353928	0.7863505	0.1445132
