G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.3635293	0.7072302	0.1548822	0.8736234	0.7594106	0.2944749	0.8156074	0.4893354	0.8357113	0.2459545
0.5723614	0.4468002	0.1519134	0.7520759	0.4590233	0.7197880	0.7759638	0.1725153	0.6194698	0.3126029
0.8847194	0.8009913	0.0676709	0.7363758	0.5710280	0.2089419	0.6652273	0.1300128	0.7159746	0.2900375
0.8528594	0.4749004	0.3094894	0.3459766	0.4338317	0.4942322	0.7185366	0.2689879	0.6940940	0.1355101
0.7125724	0.8114034	0.1229510	0.7605993	0.2863703	0.2869769	0.6346676	0.1963630	0.7742774	0.2100811
0.8070767	0.7290951	0.0994067	0.8001999	0.6064308	0.1596154	0.9423713	0.1622335	0.6044080	0.1532022
0.8245762	0.8003418	0.1853929	0.6917309	0.5687005	0.2459814	0.4585841	0.2475822	0.8583698	0.2187075
0.7740616	0.6617974	0.1666771	0.6832786	0.5979869	0.2659002	0.7305223	0.1052626	0.6954533	0.2947579
0.7026921	0.6458829	0.1374852	0.8011864	0.6625883	0.2469360	0.7943882	0.1980894	0.3633755	0.2145232
0.8854091	0.6412959	0.1558274	0.8167871	0.6139275	0.2759023	0.9059433	0.1078091	0.6042815	0.1165494
