G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.7745515	0.1195726	0.1299609	0.3345683	0.5095007	0.1873520	0.1020075	0.3752031	0.5135840
0.7239130	0.0000000	0.0632817	0.6837322	0.3404491	0.7015220	0.8355488	0.0495195	0.6287180	0.7831965
0.0482124	0.7273634	0.0000000	0.1810054	0.2079621	0.5871266	0.1958626	0.0942506	0.2305007	0.6807892
0.0558468	1.0000000	0.0574916	0.0000000	0.2121510	0.8067448	0.1219078	0.0786582	0.0481571	0.8030569
0.0533959	0.7436204	0.0719234	0.0728857	0.0000000	0.6346338	0.3030009	0.0714270	0.3365196	0.6020384
0.1245314	0.5382568	0.0510031	0.1227345	0.2012077	0.0000000	0.2376425	0.1189435	0.3034079	0.5992132
0.0738627	0.7043262	0.0761599	0.1089980	0.1676100	0.6441097	0.0000000	0.0958850	0.3826704	0.7296444
0.0866813	0.6732992	0.1001374	0.1335017	0.2125295	0.7138666	0.2052774	0.0000000	0.3383671	0.4932970
0.0921914	0.7313517	0.0620462	0.1091624	0.1801538	0.7164658	0.1461455	0.1045104	0.0000000	0.6725052
0.0975300	0.6775657	0.0962188	0.1879196	0.1747258	0.5342577	0.2395943	0.0516981	0.2606425	0.0000000
