G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0253217	0.7241272	0.0816844	0.1257399	0.1981160	0.6047482	0.1760334	0.1049749	0.2428811	0.6539165
0.1739107	0.4527388	0.2841751	0.5248466	0.3811558	0.6492893	0.6055511	0.2125039	0.6109777	0.3011817
0.0614489	0.6798393	0.0439702	0.0808968	0.1801176	0.5868252	0.2765746	0.0955411	0.3762059	0.5534139
0.0595174	0.6538657	0.0452623	0.0649072	0.2498976	0.5123655	0.2765078	0.0567368	0.2003771	0.6304727
0.0826841	0.6045178	0.0478285	0.0974667	0.0693833	0.7628867	0.2643124	0.0781098	0.2918053	0.6586828
0.0766535	0.7205345	0.1035730	0.1152676	0.2208725	0.3106715	0.3157459	0.0971618	0.2733652	0.7162447
0.0844992	0.6821788	0.0944960	0.1446849	0.2468984	0.7291183	0.1302659	0.0763518	0.3100682	0.7211031
0.0623215	0.8088707	0.1117643	0.0933534	0.2293166	0.6399046	0.2229804	0.0826274	0.2630846	0.6563682
0.0620016	0.6594823	0.1173571	0.0930299	0.2522142	0.6142540	0.2761686	0.1236408	0.1650210	0.6958703
0.1074562	0.7494614	0.0610030	0.1191646	0.1774917	0.6547773	0.2084231	0.1112396	0.3508046	0.3070624
