G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.0035048	0.1574767	0.0185366	0.5953155	0.8168881	0.7349761	0.6151235	0.5096001	0.5000724
0.9027245	0.0000000	0.6793347	0.4301334	0.0265178	0.8143795	0.4479674	0.1545269	0.6787136	0.2921698
0.7677880	0.6902872	0.0000000	0.0120487	0.8647116	0.8252405	0.1746217	0.4564983	0.2235941	0.6257040
0.7400219	0.8636351	0.8779331	0.0000000	0.4870556	0.1301181	0.0285560	0.0601709	0.5241324	0.2044899
0.8587710	0.8139517	0.7620031	0.5630884	0.0000000	0.0928817	0.0585481	0.0737969	0.5749662	0.1829316
0.7235560	0.6741586	0.7387287	0.4669903	0.4843635	0.0000000	0.0796357	0.0716200	0.6706613	0.2234060
0.7464099	0.7278855	0.7934093	0.4073793	0.5726935	0.1122376	0.0000000	0.0567449	0.6680046	0.2293588
0.8249208	0.8297541	0.8111909	0.3292195	0.4388577	0.0909149	0.0543967	0.0000000	0.4991385	0.2813447
0.7910796	0.7506798	0.7436045	0.4010799	0.6504127	0.1125528	0.0308569	0.0861826	0.0000000	0.2382227
0.8586843	0.8754043	0.7380916	0.4662157	0.6870496	0.1021384	0.1063990	0.0640137	0.5664462	0.0000000
