G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.4065358	0.5001351	0.4275253	0.8453626	0.2734893	0.1790624	0.3800026	0.1097897	0.5915844	0.0008218
0.8441985	0.2578472	0.3404095	0.8779060	0.2502846	0.0623353	0.5429623	0.4786419	0.5702528	0.0487425
0.8397250	0.4314329	0.2862030	0.7837971	0.4764321	0.3188145	0.5450288	0.4787611	0.6842527	0.0096299
0.8246995	0.3440269	0.3556878	0.4873628	0.3566168	0.1483001	0.0826858	0.0885137	0.5042471	0.0213415
0.8135651	0.4929956	0.3065533	0.8596723	0.1939004	0.2610182	0.4995066	0.5250346	0.7190521	0.0084780
0.7832632	0.6268259	0.3214143	0.8485637	0.3979137	0.1145104	0.4365454	0.5424533	0.6800367	0.0108170
0.8268174	0.5530029	0.3058018	0.7604964	0.4874725	0.3700502	0.2789516	0.5778666	0.6929250	0.0005843
0.9425651	0.4206489	0.3088887	0.6673993	0.3981365	0.4891706	0.4648753	0.1872062	0.6057576	0.0028114
0.7623942	0.5976543	0.3436581	0.9019672	0.4476810	0.1995815	0.5476006	0.4206411	0.2861778	0.0028736
0.8796286	0.4819812	0.3167811	0.8691126	0.4731455	0.2787086	0.4025360	0.3991692	0.5444139	0.0004178
