G2	G1	-
G3	G1	+
G6	G1	+
G7	G1	-
G2	G3	-
G9	G4	+
G2	G4	+
G3	G4	+
G7	G4	+
G6	G4	-
G2	G5	-
G6	G5	+
G8	G7	+
G6	G7	+
G6	G8	-
G2	G8	-
G7	G9	+
G6	G10	-
G9	G10	-
G7	G11	-
G6	G11	-
G3	G11	-
G2	G11	+
G8	G11	+
G8	G12	-
G2	G12	-
G6	G12	+
G3	G12	+
G7	G12	+
G8	G13	+
G3	G13	+
G2	G13	-
G7	G13	+
G6	G13	+
G9	G14	-
G3	G14	-
G7	G14	-
G2	G14	+
G8	G14	-
G3	G15	+
G2	G15	+
G7	G15	+
G8	G15	+
G6	G15	-
G8	G16	+
G7	G16	-
G2	G16	-
G3	G16	-
G3	G17	-
G8	G17	-
G7	G17	-
G2	G17	+
G8	G18	-
G3	G18	-
G7	G18	+
G2	G18	-
G6	G19	-
G3	G19	-
G2	G19	-
G6	G20	-
G7	G20	-
G3	G20	+
G8	G21	+
G2	G21	+
G7	G21	+
G3	G22	+
G6	G22	+
G7	G22	-
G3	G23	+
G7	G23	-
G6	G23	-
G7	G24	+
G3	G24	+
G6	G24	-
G6	G25	+
G8	G25	+
G7	G25	-
G7	G26	+
G3	G26	+
G6	G26	+
G8	G27	-
G3	G27	-
G6	G27	-
G6	G28	+
G3	G28	-
G7	G28	+
G3	G29	-
G6	G29	+
G2	G29	-
G3	G30	-
G6	G30	+
G2	G30	+
G8	G31	+
G6	G31	-
G3	G31	-
G9	G32	-
G6	G32	-
G3	G32	+
G3	G33	-
G6	G33	-
G2	G33	-
G9	G34	-
G7	G34	-
G3	G34	+
G2	G35	+
G6	G35	+
G3	G35	-
G9	G36	+
G3	G36	-
G7	G36	-
G2	G37	-
G7	G37	+
G8	G37	-
G3	G38	+
G7	G38	+
G4	G38	-
G6	G39	-
G2	G39	-
G6	G40	+
G2	G40	+
G6	G41	-
G2	G41	-
G2	G42	-
G3	G42	-
G2	G43	-
G6	G43	+
G2	G44	+
G3	G44	-
G4	G45	-
G6	G45	-
G6	G46	+
G2	G46	-
G2	G47	+
G3	G47	+
G9	G48	+
G4	G48	+
G4	G49	-
G9	G49	+
G2	G50	-
G6	G50	-
G2	G51	-
G6	G51	+
G7	G52	-
G3	G52	-
G6	G53	+
G7	G53	-
G4	G54	-
G9	G54	-
G2	G55	-
G9	G55	-
G6	G56	+
G2	G56	-
G6	G57	+
G7	G57	+
G6	G58	+
G7	G58	+
G7	G59	+
G6	G59	+
G9	G60	-
G3	G60	+
G4	G61	-
G9	G61	+
G6	G62	+
G2	G62	-
G7	G63	+
G3	G63	-
G4	G64	+
G9	G64	-
G2	G65	+
G6	G65	-
G3	G66	+
G6	G66	+
G7	G67	+
G3	G67	+
G8	G68	+
G6	G68	+
G2	G69	+
G6	G69	+
G3	G70	+
G7	G70	+
G8	G71	+
G6	G71	-
G7	G72	+
G3	G72	+
G8	G73	-
G6	G73	+
G7	G74	-
G6	G74	-
G7	G75	-
G3	G75	-
G7	G76	+
G3	G76	-
G8	G77	+
G6	G77	+
G3	G78	+
G6	G78	-
G6	G79	+
G8	G79	+
G8	G80	-
G6	G80	+
G7	G81	-
G4	G81	+
G4	G82	-
G9	G83	-
G6	G84	+
G4	G85	+
G6	G86	-
G10	G87	+
G4	G88	+
G8	G89	-
G8	G90	-
G9	G91	-
G10	G92	-
G10	G93	-
G4	G94	+
G4	G95	-
G6	G96	-
G9	G97	+
G4	G98	-
G4	G99	+
G3	G100	-
